Outspoken Peer Educators ,"Thursday, September 1, 2016",9:00 AM,,"Thursday, September 1, 2016",TRUE,
Safe Zone Trainings ,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
Immigration Attorney: Work Options after OPT and AT,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
Immigration Attorney: U.S. Work Visa Options for Starting Your Own Business,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
Optional Practical Training workshops,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
Curricular Practical Training workshops,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
Check-In Workshops,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
On-Campus Employment Workshop,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
Off-Campus Work Options for F-1 Students,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
International Student Resource Fair,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
J-1 Orientation,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
Nonresident Tax Workshops,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
Immigration Attorney: The O-1 Visa and Other Work Options For Artists,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
International Spouses & Partners English Program (ISEP),"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
Passport Drive,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
US Global Entry Drive,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
Visa Workshops for multiple global sites,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
Scholar Speaker Series,"Thursday, September 1, 2016",9:00 AM,561 LaGuardia Place,"Thursday, September 1, 2016",TRUE,
Social Media Training,"Thursday, September 1, 2016",9:00 AM,Kimmel,"Thursday, September 1, 2016",TRUE,
English Conversation Groups for International Graduate Students,"Thursday, September 1, 2016",9:00 AM,CMEP Lounge,"Thursday, September 1, 2016",TRUE,
Explore New York...Explore the World,"Thursday, September 1, 2016",9:00 AM,,"Thursday, September 1, 2016",TRUE,
Residential Colleges: Goddard Leadership Retreat,"Thursday, September 1, 2016",9:00 AM,,"Thursday, September 1, 2016",TRUE,
Residential Colleges: Dinner with Deans,"Thursday, September 1, 2016",9:00 AM,Goddard,"Thursday, September 1, 2016",TRUE,
Residential Colleges: Getting Started,"Thursday, September 1, 2016",9:00 AM,Goddard,"Thursday, September 1, 2016",TRUE,
Residential Colleges: Convocation,"Thursday, September 1, 2016",9:00 AM,Goddard,"Thursday, September 1, 2016",TRUE,
Residential Colleges: Reception,"Thursday, September 1, 2016",9:00 AM,Goddard,"Thursday, September 1, 2016",TRUE,
"Coral Tower ""Taste of Study Away""","Thursday, September 1, 2016",9:00 AM,Coral,"Thursday, September 1, 2016",TRUE,
Apartment Hunting: Neighborhood tour,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Apartment Hunting: Broker and Financial Advisor Talk,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Taste of Greenwich (Study Away),"Thursday, September 1, 2016",9:00 AM,Greenwich,"Thursday, September 1, 2016",TRUE,
The #Adulting Series: Apartment Hunting & Budgeting,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Cupcakes and Cleaning,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Shred Your Stress/ Homemade Sugar Scrub,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
How To Tuesdays (Reoccuring program series at the Gramercy Resource Center),"Thursday, September 1, 2016",9:00 AM,Gramercy,"Thursday, September 1, 2016",TRUE,
FYRE's Got Your BAC,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
